id,label
1,0.987500
10,0.012500
100,0.012500
1000,0.987500
10000,0.987500
10001,0.012500
10002,0.012500
10003,0.987500
10004,0.987500
10005,0.012500
10006,0.012500
10007,0.012500
10008,0.012500
10009,0.012500
1001,0.012500
10010,0.987500
10011,0.987500
10012,0.012500
10013,0.012500
10014,0.012500
10015,0.987500
10016,0.012500
10017,0.012500
10018,0.012500
10019,0.012500
1002,0.987500
10020,0.012500
10021,0.012500
10022,0.987500
10023,0.987500
10024,0.987500
10025,0.987500
10026,0.987500
10027,0.987500
10028,0.012500
10029,0.987500
1003,0.987500
10030,0.987500
10031,0.012500
10032,0.012500
10033,0.012500
10034,0.987500
10035,0.987500
10036,0.987500
10037,0.023370
10038,0.987500
10039,0.987500
1004,0.987500
10040,0.012500
10041,0.987500
10042,0.987500
10043,0.987500
10044,0.012500
10045,0.987500
10046,0.987500
10047,0.987500
10048,0.987500
10049,0.012500
1005,0.012500
10050,0.055191
10051,0.081736
10052,0.012500
10053,0.987500
10054,0.012500
10055,0.012500
10056,0.987500
10057,0.012500
10058,0.987500
10059,0.987500
1006,0.987500
10060,0.987500
10061,0.012500
10062,0.012500
10063,0.987500
10064,0.987500
10065,0.987500
10066,0.012500
10067,0.012500
10068,0.012500
10069,0.012500
1007,0.987500
10070,0.987500
10071,0.012500
10072,0.012500
10073,0.987500
10074,0.012500
10075,0.232787
10076,0.012500
10077,0.012500
10078,0.987500
10079,0.012500
1008,0.012500
10080,0.987500
10081,0.987500
10082,0.012500
10083,0.012500
10084,0.987500
10085,0.987500
10086,0.987500
10087,0.987500
10088,0.012500
10089,0.987500
1009,0.987500
10090,0.012500
10091,0.012500
10092,0.987500
10093,0.528037
10094,0.987500
10095,0.012500
10096,0.987500
10097,0.987500
10098,0.987500
10099,0.012500
101,0.012500
1010,0.987500
10100,0.987500
10101,0.987500
10102,0.012500
10103,0.012500
10104,0.987500
10105,0.987500
10106,0.012500
10107,0.012500
10108,0.987500
10109,0.012500
1011,0.012500
10110,0.987500
10111,0.012500
10112,0.012500
10113,0.987500
10114,0.399823
10115,0.012500
10116,0.987500
10117,0.012500
10118,0.012500
10119,0.987500
1012,0.987500
10120,0.012500
10121,0.012500
10122,0.012500
10123,0.012500
10124,0.987500
10125,0.884284
10126,0.012500
10127,0.987500
10128,0.012500
10129,0.987500
1013,0.012500
10130,0.012500
10131,0.987500
10132,0.012500
10133,0.012500
10134,0.987500
10135,0.987500
10136,0.987500
10137,0.012500
10138,0.987500
10139,0.987500
1014,0.987500
10140,0.987500
10141,0.987500
10142,0.987500
10143,0.987500
10144,0.987500
10145,0.012500
10146,0.987500
10147,0.987500
10148,0.987500
10149,0.012500
1015,0.012500
10150,0.622182
10151,0.012500
10152,0.012500
10153,0.987500
10154,0.012500
10155,0.987500
10156,0.012500
10157,0.012500
10158,0.012500
10159,0.987500
1016,0.987500
10160,0.012500
10161,0.012500
10162,0.987500
10163,0.987500
10164,0.987500
10165,0.987500
10166,0.987500
10167,0.987500
10168,0.861635
10169,0.987500
1017,0.026867
10170,0.012500
10171,0.012500
10172,0.987500
10173,0.012500
10174,0.012500
10175,0.012500
10176,0.987500
10177,0.987500
10178,0.012500
10179,0.987500
1018,0.987500
10180,0.012500
10181,0.987500
10182,0.012500
10183,0.012500
10184,0.012500
10185,0.987500
10186,0.987500
10187,0.987500
10188,0.987500
10189,0.987500
1019,0.987500
10190,0.987500
10191,0.012500
10192,0.987500
10193,0.012500
10194,0.012500
10195,0.987500
10196,0.987500
10197,0.987500
10198,0.012500
10199,0.012500
102,0.987500
1020,0.012500
10200,0.012500
10201,0.012500
10202,0.987500
10203,0.987500
10204,0.012500
10205,0.012500
10206,0.012500
10207,0.987500
10208,0.987500
10209,0.987500
1021,0.012500
10210,0.012500
10211,0.012500
10212,0.012500
10213,0.987500
10214,0.987500
10215,0.012500
10216,0.987500
10217,0.987500
10218,0.012500
10219,0.012500
1022,0.012500
10220,0.987500
10221,0.987500
10222,0.987500
10223,0.012500
10224,0.012500
